93,124,1023
145,152,1023
168,155,1023
182,170,1023
176,163,1022
182,169,1022
179,167,1022
178,166,1022
186,175,1023
177,165,1022
185,177,1023
179,167,1023
180,170,1023
180,170,1023
178,167,1023
185,175,1022
178,166,1022
183,174,1023
178,167,1022
179,168,1023
184,174,1023
178,166,1023
185,176,1022
176,165,1023
180,169,1023
182,171,1023
177,167,1023
185,177,1023
177,168,1023
183,171,1023
178,168,1023
178,167,1023
183,175,1023
178,167,1022
186,175,1023
178,167,1022
181,171,1023
146,167,1022
160,165,1023
162,162,1022
169,169,1023
166,166,1023
163,162,1021
169,169,1023
166,165,1022
163,163,1020
168,171,1023
166,167,1023
163,162,1021
167,170,1023
167,166,1021
163,163,1023
168,170,1023
165,167,1021
162,162,1020
168,170,1023
165,165,1021
163,162,1022
168,170,1023
166,165,1023
164,163,1023
167,169,1022
166,166,1023
163,163,1019
167,169,1022
165,165,1023
162,162,1023
167,169,1023
163,165,1023
163,162,1023
169,171,1023
165,165,1022
162,163,1022
169,172,1023
130,157,1023
156,160,1022
180,183,1023
165,166,1022
163,165,1023
178,188,1020
161,172,1023
163,169,1023
181,194,1023
164,155,1022
168,165,1023
186,182,1023
158,154,1022
173,175,1023
168,170,1023
152,154,1023
182,186,1023
160,162,1020
146,149,1022
175,187,1023
155,153,1023
156,152,1023
179,181,1023
154,154,1023
157,157,1023
178,176,1023
160,161,1023
161,163,1022
170,171,1023
158,157,1023
165,168,1023
165,165,1023
160,159,1023
171,173,1023
162,163,1023
162,161,1023
138,164,1023
155,159,1023
171,170,1022
162,162,1023
163,160,1022
173,173,1022
160,161,1023
164,165,1023
169,171,1023
160,162,1023
170,172,1022
163,165,1022
162,162,1023
172,174,1023
161,161,1023
164,166,1023
173,172,1022
164,165,1023
191,193,1022
164,166,1023
156,159,1022
200,197,1023
147,150,1023
170,173,1023
166,160,1022
154,154,1022
183,181,1023
154,154,1022
160,160,1023
169,169,1023
160,160,1021
173,174,1023
158,159,1023
160,159,1022
172,173,1022
161,161,1023
169,173,1022
129,156,1020
157,165,1023
162,166,1021
160,158,1023
171,173,1023
156,159,1023
164,166,1023
163,164,1022
161,161,1023
171,172,1022
159,160,1023
163,165,1023
164,165,1022
160,160,1021
171,173,1022
159,159,1022
165,167,1022
162,161,1023
159,160,1023
169,170,1023
158,161,1023
168,171,1023
160,160,1023
162,164,1023
169,170,1023
161,162,1023
170,174,1023
161,162,1022
167,166,1022
164,163,1022
161,163,1021
174,179,1023
160,160,1023
169,171,1023
159,160,1022
160,161,1023
131,158,1023
156,162,1023
163,165,1023
161,163,1023
172,172,1023
161,162,1023
170,173,1022
160,161,1023
164,167,1022
161,165,1023
160,162,1023
168,170,1022
159,162,1022
170,173,1023
161,163,1023
167,171,1023
159,162,1023
162,164,1023
165,166,1023
160,161,1020
169,173,1022
159,162,1023
170,173,1023
161,162,1023
166,170,1023
161,161,1023
161,161,1023
165,166,1023
159,161,1022
169,171,1023
159,160,1023
170,173,1020
160,162,1023
168,169,1023
162,164,1023
161,163,1023
165,165,1023
136,166,1023
154,159,1023
159,164,1023
162,164,1023
160,162,1022
165,166,1023
159,162,1023
169,171,1021
159,161,1021
170,173,1023
159,161,1022
171,174,1023
160,162,1022
168,172,1023
160,162,1023
165,168,1021
160,162,1023
161,163,1023
162,163,1023
160,163,1023
164,167,1023
160,164,1022
170,172,1023
161,162,1022
163,164,1023
171,173,1022
163,163,1023
163,163,1023
172,172,1022
164,165,1022
163,163,1023
170,170,1023
166,167,1023
162,163,1023
167,169,1023
167,166,1023
163,162,1022
141,167,1023
157,161,1023
161,161,1022
